experience_years,salary_k,performance_score,label
1,30,55,0
1,32,50,0
2,35,60,0
2,38,55,0
3,40,65,0
3,42,70,0
3,45,60,0
4,48,72,1
4,50,75,1
5,52,78,1
5,55,80,1
5,58,85,1
6,60,82,1
6,62,88,1
6,65,90,1
7,68,85,1
7,70,92,1
7,72,88,1
8,75,95,1
8,78,90,1
8,80,92,1
9,82,94,1
9,85,96,1
9,88,98,1
10,90,95,1
10,92,97,1
10,95,99,1
2,28,45,0
1,25,40,0
3,35,55,0
4,45,65,0
5,50,70,0
6,55,75,1
7,65,80,1
8,70,85,1
9,80,90,1
10,85,92,1
1,27,48,0
2,30,52,0
3,38,58,0
4,42,68,0
5,48,73,1
6,58,82,1
7,62,86,1
8,72,91,1
9,78,93,1
10,88,96,1
